service_id,date,exception_type
1_merged_9190611,20200101,2
1_merged_9190611,20200217,2
1_merged_9190611,20200120,2
1_merged_9190611,20191128,2
1_merged_9190611,20191225,2
3_merged_9190612,20200101,1
3_merged_9190612,20200217,1
3_merged_9190612,20191128,1
3_merged_9190612,20191225,1
2_merged_9190613,20200120,1
